model,model_family,fold,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,valid_confusion,valid_accuracy,valid_kappa,valid_metrics
CART,cart,0,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[163, 37], [38, 162]]",0.8125,0.625,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 162, ""true_negative"": 163, ""false_positive"": 37, ""false_negative"": 38, ""accuracy"": 0.8125, ""precision"": 0.8140703517587939, ""recall"": 0.81, ""sensitivity"": 0.81, ""specificity"": 0.815, ""f1"": 0.81203007518797, ""balanced_accuracy"": 0.8125, ""negative_predictive_value"": 0.8109452736318408, ""false_positive_rate"": 0.18500000000000005, ""false_negative_rate"": 0.18999999999999995, ""roc_auc"": 0.87795, ""pr_auc"": 0.813202209668663, ""average_precision"": 0.813202209668663}"
CART,cart,1,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[152, 48], [57, 143]]",0.7375,0.4750000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 143, ""true_negative"": 152, ""false_positive"": 48, ""false_negative"": 57, ""accuracy"": 0.7375, ""precision"": 0.7486910994764397, ""recall"": 0.715, ""sensitivity"": 0.715, ""specificity"": 0.76, ""f1"": 0.7314578005115088, ""balanced_accuracy"": 0.7375, ""negative_predictive_value"": 0.7272727272727273, ""false_positive_rate"": 0.24, ""false_negative_rate"": 0.28500000000000003, ""roc_auc"": 0.766725, ""pr_auc"": 0.6173676014394206, ""average_precision"": 0.6173676014394206}"
CART,cart,2,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[155, 45], [30, 170]]",0.8125,0.625,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 170, ""true_negative"": 155, ""false_positive"": 45, ""false_negative"": 30, ""accuracy"": 0.8125, ""precision"": 0.7906976744186046, ""recall"": 0.85, ""sensitivity"": 0.85, ""specificity"": 0.775, ""f1"": 0.8192771084337349, ""balanced_accuracy"": 0.8125, ""negative_predictive_value"": 0.8378378378378378, ""false_positive_rate"": 0.22499999999999998, ""false_negative_rate"": 0.15000000000000002, ""roc_auc"": 0.8734375, ""pr_auc"": 0.6729799255587657, ""average_precision"": 0.6729799255587657}"
CART,cart,3,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[150, 50], [63, 137]]",0.7175,0.43500000000000005,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 137, ""true_negative"": 150, ""false_positive"": 50, ""false_negative"": 63, ""accuracy"": 0.7175, ""precision"": 0.732620320855615, ""recall"": 0.685, ""sensitivity"": 0.685, ""specificity"": 0.75, ""f1"": 0.7080103359173128, ""balanced_accuracy"": 0.7175, ""negative_predictive_value"": 0.704225352112676, ""false_positive_rate"": 0.25, ""false_negative_rate"": 0.31499999999999995, ""roc_auc"": 0.7709875, ""pr_auc"": 0.645574102758762, ""average_precision"": 0.645574102758762}"
CART,cart,4,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[149, 51], [29, 171]]",0.8,0.6000000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 171, ""true_negative"": 149, ""false_positive"": 51, ""false_negative"": 29, ""accuracy"": 0.8, ""precision"": 0.7702702702702703, ""recall"": 0.855, ""sensitivity"": 0.855, ""specificity"": 0.745, ""f1"": 0.8104265402843602, ""balanced_accuracy"": 0.8, ""negative_predictive_value"": 0.8370786516853933, ""false_positive_rate"": 0.255, ""false_negative_rate"": 0.14500000000000002, ""roc_auc"": 0.793175, ""pr_auc"": 0.6136783106004814, ""average_precision"": 0.6136783106004814}"
KNN,knn,0,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[109, 91], [22, 178]]",0.7175,0.43500000000000005,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 178, ""true_negative"": 109, ""false_positive"": 91, ""false_negative"": 22, ""accuracy"": 0.7175, ""precision"": 0.6617100371747212, ""recall"": 0.89, ""sensitivity"": 0.89, ""specificity"": 0.545, ""f1"": 0.7590618336886994, ""balanced_accuracy"": 0.7175, ""negative_predictive_value"": 0.8320610687022901, ""false_positive_rate"": 0.45499999999999996, ""false_negative_rate"": 0.10999999999999999, ""roc_auc"": 0.7900875, ""pr_auc"": 0.6599961806739484, ""average_precision"": 0.6599961806739484}"
KNN,knn,1,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[113, 87], [75, 125]]",0.595,0.18999999999999995,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 125, ""true_negative"": 113, ""false_positive"": 87, ""false_negative"": 75, ""accuracy"": 0.595, ""precision"": 0.589622641509434, ""recall"": 0.625, ""sensitivity"": 0.625, ""specificity"": 0.565, ""f1"": 0.6067961165048544, ""balanced_accuracy"": 0.595, ""negative_predictive_value"": 0.601063829787234, ""false_positive_rate"": 0.43500000000000005, ""false_negative_rate"": 0.375, ""roc_auc"": 0.674925, ""pr_auc"": 0.5750118778686685, ""average_precision"": 0.5750118778686685}"
KNN,knn,2,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[123, 77], [17, 183]]",0.765,0.53,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 183, ""true_negative"": 123, ""false_positive"": 77, ""false_negative"": 17, ""accuracy"": 0.765, ""precision"": 0.7038461538461539, ""recall"": 0.915, ""sensitivity"": 0.915, ""specificity"": 0.615, ""f1"": 0.7956521739130434, ""balanced_accuracy"": 0.765, ""negative_predictive_value"": 0.8785714285714286, ""false_positive_rate"": 0.385, ""false_negative_rate"": 0.08499999999999996, ""roc_auc"": 0.83165, ""pr_auc"": 0.695637104937655, ""average_precision"": 0.695637104937655}"
KNN,knn,3,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[110, 90], [34, 166]]",0.69,0.3799999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 166, ""true_negative"": 110, ""false_positive"": 90, ""false_negative"": 34, ""accuracy"": 0.69, ""precision"": 0.6484375, ""recall"": 0.83, ""sensitivity"": 0.83, ""specificity"": 0.55, ""f1"": 0.7280701754385964, ""balanced_accuracy"": 0.69, ""negative_predictive_value"": 0.7638888888888888, ""false_positive_rate"": 0.44999999999999996, ""false_negative_rate"": 0.17000000000000004, ""roc_auc"": 0.7613625, ""pr_auc"": 0.6599834483669307, ""average_precision"": 0.6599834483669307}"
KNN,knn,4,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[136, 64], [49, 151]]",0.7175,0.43500000000000005,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 151, ""true_negative"": 136, ""false_positive"": 64, ""false_negative"": 49, ""accuracy"": 0.7175, ""precision"": 0.7023255813953488, ""recall"": 0.755, ""sensitivity"": 0.755, ""specificity"": 0.68, ""f1"": 0.7277108433734941, ""balanced_accuracy"": 0.7175, ""negative_predictive_value"": 0.7351351351351352, ""false_positive_rate"": 0.31999999999999995, ""false_negative_rate"": 0.245, ""roc_auc"": 0.787, ""pr_auc"": 0.6704502793034867, ""average_precision"": 0.6704502793034867}"
